0:2:2:2:78	Leaf terminal cluster 0:2:2:2:78	Leaf terminal cluster 0:2:2:2:78
0:2:2:4:27	Leaf terminal cluster 0:2:2:4:27	Leaf terminal cluster 0:2:2:4:27
0:120	Leaf terminal cluster 0:120	Leaf terminal cluster 0:120
0:1:7:10	Leaf terminal cluster 0:1:7:10	Leaf terminal cluster 0:1:7:10
0:82	Leaf terminal cluster 0:82	Leaf terminal cluster 0:82
0:2:1:1:268	Leaf terminal cluster 0:2:1:1:268	Leaf terminal cluster 0:2:1:1:268
0:1:3:173	Leaf terminal cluster 0:1:3:173	Leaf terminal cluster 0:1:3:173
0:1:4:1	Leaf terminal cluster 0:1:4:1	Leaf terminal cluster 0:1:4:1
0:171	Leaf terminal cluster 0:171	Leaf terminal cluster 0:171
0:1:2:42	Leaf terminal cluster 0:1:2:42	Leaf terminal cluster 0:1:2:42
0:1:2:39	Leaf terminal cluster 0:1:2:39	Leaf terminal cluster 0:1:2:39
0:1:3:125	Leaf terminal cluster 0:1:3:125	Leaf terminal cluster 0:1:3:125
0:169	Leaf terminal cluster 0:169	Leaf terminal cluster 0:169
0:1:5:63	Leaf terminal cluster 0:1:5:63	Leaf terminal cluster 0:1:5:63
0:2:1:1:219	Leaf terminal cluster 0:2:1:1:219	Leaf terminal cluster 0:2:1:1:219
0:196	Leaf terminal cluster 0:196	Leaf terminal cluster 0:196
